,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
188,76,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,5,序,○,2,w,160,,15,15,Deuce,1,0
189,77,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,5,序,○,1,c,188,,30,15,Ad,1,0
190,78,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,5,序,○,2,o,,Do,40,15,Deuce,1,0
191,105,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,6,圭,○,1,w,16,,0,0,Deuce,1,0
192,106,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,6,圭,×,2,o,,Do,15,0,Ad,0,1
193,107,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,6,圭,○,1,w,165,,15,15,Deuce,1,0
194,108,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,6,圭,○,1,b,173,,30,15,Ad,1,0
195,109,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,6,圭,×,2,c,144,,40,15,Deuce,0,1
196,110,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,6,圭,○,2,w,143,,40,30,Ad,1,0
197,143,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,7,序,○,1,b,167,,0,0,Deuce,1,0
198,144,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,7,序,×,1,c,181,,15,0,Ad,0,1
199,145,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,7,序,×,1,w,156,,15,15,Deuce,0,1
200,146,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,7,序,×,2,w,136,,15,30,Ad,0,1
201,147,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,7,序,×,1,w,178,,15,40,Deuce,0,1
202,185,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,8,圭,○,1,w,185,,0,0,Deuce,1,0
203,186,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,8,圭,×,1,c,175,,15,0,Ad,0,1
204,187,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,8,圭,○,1,c,188,,15,15,Deuce,1,0
205,188,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,8,圭,×,2,c,157,,30,15,Ad,0,1
206,189,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,8,圭,×,1,w,173,,30,30,Deuce,0,1
207,190,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,8,圭,×,1,c,178,,30,40,Ad,0,1
208,234,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,9,序,○,2,w,160,,0,0,Deuce,1,0
209,235,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,9,序,×,1,c,183,,15,0,Ad,0,1
210,236,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,9,序,×,1,w,168,,15,15,Deuce,0,1
211,237,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,9,序,×,2,w,133,,15,30,Ad,0,1
212,238,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,9,序,○,2,w,160,,15,40,Deuce,1,0
213,239,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,9,序,○,1,c,188,,30,40,Ad,1,0
214,240,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,9,序,×,1,c,194,Ac,40,40,Deuce,0,1
215,241,201807ウィンブルドン,ノバク・ジョコビッチ,1.0,9,序,×,1,w,,,40,Ad,Ad,0,1
216,0,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,×,1,b,162,,0,0,Deuce,0,1
217,1,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,○,1,w,181,,0,15,Ad,1,0
218,2,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,×,2,w,151,,15,15,Deuce,0,1
219,3,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,○,1,c,181,,15,30,Ad,1,0
220,4,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,○,1,c,191,,30,30,Deuce,1,0
221,5,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,×,1,w,183,,40,30,Ad,0,1
222,6,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,○,1,w,160,,40,40,Deuce,1,0
223,7,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,×,2,b,143,,Ad,40,Ad,0,1
224,13,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,1,圭,○,2,w,138,,40,Ad,Ad,1,0
225,32,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,2,序,×,2,w,164,,0,0,Deuce,0,1
226,33,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,2,序,×,1,w,186,,0,15,Ad,0,1
227,34,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,2,序,×,1,c,191,,0,30,Deuce,0,1
228,35,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,2,序,×,1,c,181,,0,40,Ad,0,1
229,56,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,3,圭,×,1,w,156,,0,0,Deuce,0,1
230,57,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,3,圭,×,2,w,146,,0,15,Ad,0,1
231,58,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,3,圭,×,1,w,144,,0,30,Deuce,0,1
232,59,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,3,圭,○,1,c,172,,0,40,Ad,1,0
233,60,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,3,圭,○,1,w,159,,15,40,Deuce,1,0
234,61,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,3,圭,○,1,c,180,Ac,30,40,Ad,1,0
235,62,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,3,圭,○,2,b,146,,40,40,Deuce,1,0
236,63,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,3,圭,○,1,c,175,,Ad,40,Ad,1,0
237,92,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,4,序,○,1,c,189,,0,0,Deuce,1,0
238,93,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,4,序,×,1,w,181,,15,0,Ad,0,1
239,94,201807ウィンブルドン,ノバク・ジョコビッチ,2.0,4,序,○,2,b,152,,15,15,Deuce,1,0
