,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
171,331,201904バルセロナ,ダニール・メドベージェフ,3.0,10,圭,○,2,w,128,,30,0,Deuce,1,0
172,332,201904バルセロナ,ダニール・メドベージェフ,3.0,10,圭,×,1,w,160,,40,0,Ad,0,1
173,333,201904バルセロナ,ダニール・メドベージェフ,3.0,10,圭,×,1,b,,,40,15,Deuce,0,1
174,334,201904バルセロナ,ダニール・メドベージェフ,3.0,10,圭,○,2,w,135,,40,30,Ad,1,0
175,399,201904バルセロナ,ダニール・メドベージェフ,3.0,11,芽,×,1,c,,,0,0,Deuce,0,1
176,400,201904バルセロナ,ダニール・メドベージェフ,3.0,11,芽,○,2,b,167,,0,15,Ad,1,0
177,401,201904バルセロナ,ダニール・メドベージェフ,3.0,11,芽,×,1,w,,,15,15,Deuce,0,1
178,402,201904バルセロナ,ダニール・メドベージェフ,3.0,11,芽,○,2,b,126,,15,30,Ad,1,0
179,403,201904バルセロナ,ダニール・メドベージェフ,3.0,11,芽,×,1,c,192,Ac,30,30,Deuce,0,1
180,404,201904バルセロナ,ダニール・メドベージェフ,3.0,11,芽,×,1,c,,,30,40,Ad,0,1
181,475,201904バルセロナ,ダニール・メドベージェフ,3.0,12,圭,×,1,b,162,,0,0,Deuce,0,1
182,476,201904バルセロナ,ダニール・メドベージェフ,3.0,12,圭,○,1,c,179,,0,15,Ad,1,0
183,477,201904バルセロナ,ダニール・メドベージェフ,3.0,12,圭,○,1,w,,,15,15,Deuce,1,0
184,478,201904バルセロナ,ダニール・メドベージェフ,3.0,12,圭,×,2,c,143,,30,15,Ad,0,1
185,479,201904バルセロナ,ダニール・メドベージェフ,3.0,12,圭,○,1,w,166,,30,30,Deuce,1,0
186,480,201904バルセロナ,ダニール・メドベージェフ,3.0,12,圭,×,1,w,160,,40,30,Ad,0,1
187,481,201904バルセロナ,ダニール・メドベージェフ,3.0,12,圭,×,1,w,,,40,40,Deuce,0,1
188,482,201904バルセロナ,ダニール・メドベージェフ,3.0,12,圭,×,2,w,124,,40,Ad,Ad,0,1
189,0,201904バルセロナ,R・カルバレスバエナ,1.0,1,狩,○,〇,〇,,,0,0,Deuce,1,0
190,1,201904バルセロナ,R・カルバレスバエナ,1.0,1,狩,○,1,w,,,15,0,Ad,1,0
191,2,201904バルセロナ,R・カルバレスバエナ,1.0,1,狩,×,2,w,,,30,0,Deuce,0,1
192,3,201904バルセロナ,R・カルバレスバエナ,1.0,1,狩,○,〇,〇,,,30,15,Ad,1,0
193,4,201904バルセロナ,R・カルバレスバエナ,1.0,1,狩,○,1,w,,,40,15,Deuce,1,0
194,6,201904バルセロナ,R・カルバレスバエナ,1.0,2,圭,○,〇,×,,,0,0,Deuce,1,0
195,7,201904バルセロナ,R・カルバレスバエナ,1.0,2,圭,○,1,w,165,,15,0,Ad,1,0
196,8,201904バルセロナ,R・カルバレスバエナ,1.0,2,圭,×,1,w,152,,30,0,Deuce,0,1
197,15,201904バルセロナ,R・カルバレスバエナ,1.0,3,狩,×,1,w,177,,0,0,Deuce,0,1
198,16,201904バルセロナ,R・カルバレスバエナ,1.0,3,狩,○,1,b,168,,0,15,Ad,1,0
199,17,201904バルセロナ,R・カルバレスバエナ,1.0,3,狩,×,1,w,,,15,15,Deuce,0,1
200,18,201904バルセロナ,R・カルバレスバエナ,1.0,3,狩,×,2,b,151,,15,30,Ad,0,1
201,19,201904バルセロナ,R・カルバレスバエナ,1.0,3,狩,×,1,c,,,15,40,Deuce,0,1
202,42,201904バルセロナ,R・カルバレスバエナ,1.0,5,狩,×,1,c,,,0,0,Deuce,0,1
203,43,201904バルセロナ,R・カルバレスバエナ,1.0,5,狩,×,2,w,143,,0,15,Ad,0,1
